seri_no,ram_gb,kamera_mp,ekran_boyutu,batarya_mah,storage_gb,cihaz_fiyat,cikis_yili,cihaz_durum_puan,segment_puan,cihaz_model
9,6.0,12.0,6.1,3095.0,512.0,53199,2021.0,3,4,13.0
9,6.0,12.0,6.7,4352.0,128.0,53399,2021.0,2,5,13.0
11,6.0,48.0,6.1,3349.0,256.0,53599,2023.0,1,2,15.0
11,6.0,48.0,6.1,3349.0,256.0,53899,2023.0,2,2,15.0
9,6.0,12.0,6.7,4352.0,128.0,53999,2021.0,4,5,13.0
11,6.0,48.0,6.1,3349.0,256.0,54199,2023.0,3,2,15.0
10,6.0,48.0,6.1,3200.0,128.0,54399,2022.0,2,4,14.0
11,6.0,48.0,6.1,3349.0,256.0,54499,2023.0,4,2,15.0
9,6.0,12.0,6.7,4352.0,128.0,54699,2021.0,3,5,13.0
9,6.0,12.0,6.7,4352.0,128.0,54999,2021.0,4,5,13.0
9,6.0,12.0,6.7,4352.0,256.0,55099,2021.0,1,5,13.0
10,6.0,48.0,6.1,3200.0,128.0,55099,2022.0,1,4,14.0
9,6.0,12.0,6.7,4352.0,256.0,55399,2021.0,2,5,13.0
11,6.0,48.0,6.7,4383.0,128.0,55599,2023.0,1,3,15.0
11,6.0,48.0,6.7,4383.0,128.0,55899,2023.0,2,3,15.0
11,6.0,48.0,6.7,4383.0,128.0,56199,2023.0,3,3,15.0
11,6.0,48.0,6.7,4383.0,128.0,56499,2023.0,4,3,15.0
9,6.0,12.0,6.7,4352.0,256.0,56699,2021.0,3,5,13.0
9,6.0,12.0,6.7,4352.0,256.0,56999,2021.0,4,5,13.0
10,6.0,48.0,6.1,3200.0,128.0,56999,2022.0,4,4,14.0
9,6.0,12.0,6.7,4352.0,512.0,57899,2021.0,1,5,13.0
9,6.0,12.0,6.7,4352.0,512.0,58199,2021.0,2,5,13.0
11,6.0,48.0,6.1,3349.0,512.0,58399,2023.0,2,2,15.0
10,6.0,48.0,6.7,4323.0,128.0,58499,2022.0,2,5,14.0
11,6.0,48.0,6.1,3349.0,512.0,58699,2023.0,3,2,15.0
9,6.0,12.0,6.7,4352.0,512.0,58799,2021.0,4,5,13.0
10,6.0,48.0,6.1,3200.0,128.0,59099,2022.0,1,4,14.0
9,6.0,12.0,6.7,4352.0,1024.0,59399,2021.0,2,5,13.0
10,6.0,48.0,6.1,3200.0,128.0,59399,2022.0,2,4,14.0
9,6.0,12.0,6.7,4352.0,512.0,59499,2021.0,3,5,13.0
10,6.0,48.0,6.7,4323.0,128.0,59999,2022.0,3,5,14.0
10,6.0,48.0,6.7,4323.0,256.0,60499,2022.0,1,5,14.0
9,6.0,12.0,6.7,4352.0,1024.0,60699,2021.0,3,5,13.0
10,6.0,48.0,6.1,3200.0,128.0,60699,2022.0,3,4,14.0
10,6.0,48.0,6.1,3200.0,128.0,60999,2022.0,4,4,14.0
11,6.0,48.0,6.7,4383.0,256.0,61099,2023.0,1,3,15.0
11,6.0,48.0,6.7,4383.0,256.0,61399,2023.0,2,3,15.0
10,6.0,48.0,6.7,4323.0,256.0,61499,2022.0,1,5,14.0
10,6.0,48.0,6.7,4323.0,128.0,61999,2022.0,1,5,14.0
11,6.0,48.0,6.7,4383.0,256.0,61999,2023.0,4,3,15.0
10,6.0,48.0,6.1,3200.0,256.0,62099,2022.0,1,4,14.0
10,6.0,48.0,6.1,3200.0,256.0,62399,2022.0,2,4,14.0
10,6.0,48.0,6.7,4323.0,128.0,62499,2022.0,2,5,14.0
10,6.0,48.0,6.1,3200.0,256.0,63699,2022.0,3,4,14.0
10,6.0,48.0,6.1,3200.0,256.0,63999,2022.0,4,4,14.0
10,6.0,48.0,6.7,4323.0,128.0,63999,2022.0,3,5,14.0
10,6.0,48.0,6.7,4323.0,128.0,64999,2022.0,4,5,14.0
10,6.0,48.0,6.1,3200.0,512.0,65099,2022.0,1,4,14.0
10,6.0,48.0,6.1,3200.0,512.0,65499,2022.0,2,4,14.0
10,6.0,48.0,6.7,4323.0,256.0,65999,2022.0,2,5,14.0
